,Dimension,Number of row mismatches,ccx,cx,x,h,z,u1,u2,u3,Number of Grover iterations,Circuit depth (after transpilation),Qubit count,Total Gate count
0,"(4, 2)",0,18,1,11,2,1,2,2,0,1,32,7,37
1,"(4, 2)",1,16,1,11,2,1,2,2,0,1,30,7,35
2,"(4, 2)",2,0,0,1,2,0,0,0,0,0,2,7,3
3,"(4, 2)",3,0,0,1,2,0,0,0,0,0,2,7,3
4,"(4, 4)",0,28,1,11,2,1,2,2,0,1,42,11,47
5,"(4, 4)",1,30,1,11,2,1,2,2,0,1,44,11,49
6,"(4, 4)",2,0,0,1,2,0,0,0,0,0,2,11,3
7,"(4, 4)",3,0,0,1,2,0,0,0,0,0,2,11,3
8,"(16, 4)",0,8,0,41,4,1,2,6,0,1,128,13,62
9,"(16, 4)",1,24,0,109,4,3,4,18,2,3,384,13,164
10,"(16, 4)",2,16,0,75,4,2,3,12,1,2,261,13,113
11,"(16, 4)",3,8,0,41,4,1,2,6,0,1,134,13,62
12,"(16, 8)",0,16,0,42,4,1,2,6,0,1,198,21,71
13,"(16, 8)",1,48,0,110,4,3,4,18,2,3,582,21,189
14,"(16, 8)",2,32,0,76,4,2,3,12,1,2,385,21,130
15,"(16, 8)",3,16,0,42,4,1,2,6,0,1,196,21,71
16,"(32, 4)",0,8,0,74,5,1,2,8,0,1,234,14,98
17,"(32, 4)",1,32,0,275,5,4,5,32,3,4,919,14,356
18,"(32, 4)",2,24,0,208,5,3,4,24,2,3,684,14,270
19,"(32, 4)",3,16,0,141,5,2,3,16,1,2,453,14,184
20,"(32, 8)",0,16,0,76,5,1,2,8,0,1,332,22,108
21,"(32, 8)",1,64,0,277,5,4,5,32,3,4,1327,22,390
22,"(32, 8)",2,48,0,210,5,3,4,24,2,3,1002,22,296
23,"(32, 8)",3,32,0,143,5,2,3,16,1,2,673,22,202
24,"(64, 8)",0,16,0,141,6,1,2,10,0,1,684,23,176
25,"(64, 8)",1,96,0,801,6,6,7,60,5,6,4077,23,981
26,"(64, 8)",2,64,0,537,6,4,5,40,3,4,2711,23,659
27,"(64, 8)",3,48,0,405,6,3,4,30,2,3,2040,23,498
