,Dimension,Number of row mismatches,ccx,cx,x,h,z,u1,u2,u3,Circuit depth (after transpilation),Qubit count,Total Gate count
0,"(4, 2)",0,18,1,11,2,1,2,2,0,32,7,37
1,"(4, 2)",1,16,1,11,2,1,2,2,0,30,7,35
2,"(4, 2)",2,0,0,1,2,0,0,0,0,2,7,3
3,"(4, 2)",3,0,0,1,2,0,0,0,0,2,7,3
4,"(4, 4)",0,28,1,11,2,1,2,2,0,42,11,47
5,"(4, 4)",1,30,1,11,2,1,2,2,0,44,11,49
6,"(4, 4)",2,0,0,1,2,0,0,0,0,2,11,3
7,"(4, 4)",3,0,0,1,2,0,0,0,0,2,11,3
8,"(16, 4)",0,8,2966,37,86,1,2488,746,2,5058,13,6334
9,"(16, 4)",1,24,9114,99,256,3,7644,2292,4,15522,13,19436
10,"(16, 4)",2,16,6220,68,176,2,5216,1564,3,10585,13,13265
11,"(16, 4)",3,8,3182,37,92,1,2668,800,2,5412,13,6790
12,"(16, 8)",0,16,5198,38,148,1,4350,1304,2,8734,21,11057
13,"(16, 8)",1,48,15378,100,430,3,12870,3858,4,25842,21,32691
14,"(16, 8)",2,32,10108,69,284,2,8460,2536,3,16993,21,21494
15,"(16, 8)",3,16,5126,38,146,1,4290,1286,2,8616,21,10905
16,"(16, 16)",0,32,8510,45,240,1,7110,2132,2,14178,37,18072
17,"(16, 16)",1,96,28338,104,790,3,23670,7098,4,47130,37,60103
18,"(16, 16)",2,64,17020,76,476,2,14220,4264,3,28353,37,36125
19,"(16, 16)",3,32,8582,45,242,1,7170,2150,2,14296,37,18224
20,"(32, 4)",0,8,14388,72,161,1,14381,172,2,23772,14,29185
21,"(32, 4)",1,32,56816,270,621,4,56785,680,8,93879,14,115216
22,"(32, 4)",2,24,42060,204,461,3,42037,504,6,69510,14,85299
23,"(32, 4)",3,16,27672,138,305,2,27657,332,4,45741,14,56126
24,"(32, 8)",0,16,22668,74,251,1,22661,262,2,37296,22,45935
25,"(32, 8)",1,64,91408,272,997,4,91377,1056,8,150375,22,185186
26,"(32, 8)",2,48,69108,206,755,3,69085,798,6,113682,22,140009
27,"(32, 8)",3,32,46440,140,509,2,46425,536,4,76389,22,94088
28,"(32, 16)",0,32,48060,74,527,1,48053,538,2,78720,38,97287
29,"(32, 16)",1,128,191504,272,2085,4,191473,2144,8,313671,38,387618
30,"(32, 16)",2,96,144180,206,1571,3,144157,1614,6,236154,38,291833
31,"(32, 16)",3,64,96488,140,1053,2,96473,1080,4,158037,38,195304
32,"(32, 32)",0,64,93140,85,1017,1,93133,1028,2,152252,70,188470
33,"(32, 32)",1,256,371824,283,4045,4,371793,4104,8,607799,70,752317
34,"(32, 32)",2,192,278316,217,3029,3,278293,3072,6,454950,70,563128
35,"(32, 32)",3,128,185912,151,2025,2,185897,2052,4,303901,70,376171
36,"(64, 8)",0,16,100484,139,540,1,100481,546,2,166346,23,202209
37,"(64, 8)",1,96,600648,794,3198,6,600630,3264,7,994341,23,1208643
38,"(64, 8)",2,64,398928,532,2126,4,398916,2168,5,660415,23,802743
39,"(64, 8)",3,48,300324,401,1602,3,300315,1632,4,497172,23,604329
40,"(64, 16)",0,32,197492,145,1056,1,197489,1062,2,326330,39,397279
41,"(64, 16)",1,192,1182696,800,6294,6,1182678,6360,7,1954245,39,2379033
42,"(64, 16)",2,128,786960,538,4190,4,786948,4232,5,1300351,39,1583005
43,"(64, 16)",3,96,591348,407,3150,3,591339,3180,4,977124,39,1189527
44,"(64, 32)",0,64,393012,154,2096,1,393009,2102,2,648762,71,790440
45,"(64, 32)",1,384,2355816,809,12534,6,2355798,12600,7,3888837,71,4737954
46,"(64, 32)",2,256,1572048,547,8366,4,1572036,8408,5,2595039,71,3161670
47,"(64, 32)",3,192,1180164,416,6282,3,1180155,6312,4,1948140,71,2373528
48,"(64, 64)",0,128,777660,170,4142,1,777657,4148,2,1283086,135,1563908
49,"(64, 64)",1,768,4663704,825,24810,6,4663686,24876,7,7694781,135,9378682
50,"(64, 64)",2,512,3107632,563,16534,4,3107620,16576,5,5127375,135,6249446
51,"(64, 64)",3,384,2329596,432,12396,3,2329587,12426,4,3843672,135,4684828
