,Dimension,Number of row mismatches,Transpilation time (s),Simulation time (s),Qubit count,Number of Grover iterations,Circuit depth (before transpilation),Circuit depth (after transpilation)
0,"(4, 2)",0,0.07674812953919172,0.015200973488390446,7,1,36,32
1,"(4, 2)",1,0.07642362732440233,0.016425427794456483,7,1,34,30
2,"(4, 2)",2,0.009307808056473733,0.023831474222242834,7,0,2,2
3,"(4, 2)",3,0.007281612977385521,0.006386364251375199,7,0,2,2
4,"(4, 4)",0,0.08776867464184761,0.021388022974133492,11,1,46,42
5,"(4, 4)",1,0.06783373244106769,0.016027524136006832,11,1,48,44
6,"(4, 4)",2,0.00798985417932272,0.0358953770250082,11,0,2,2
7,"(4, 4)",3,0.012598341889679432,0.010394719801843167,11,0,2,2
8,"(16, 4)",0,15.700900908000767,0.009912214614450932,13,1,132,5058
9,"(16, 4)",1,48.53048480991274,0.004435916058719158,13,3,398,15522
10,"(16, 4)",2,31.90904415473342,0.003126564808189869,13,2,270,10585
11,"(16, 4)",3,17.039236187003553,0.007180047035217285,13,1,138,5412
12,"(16, 8)",0,27.22835266981274,0.0069987324997782705,21,1,202,8734
13,"(16, 8)",1,63.624518717080356,0.006956108286976815,21,3,596,25842
14,"(16, 8)",2,48.654386889748274,0.003840085305273533,21,2,394,16993
15,"(16, 8)",3,27.034144540689887,0.00925366822630167,21,1,200,8616
16,"(16, 16)",0,74.56989787053317,0.009354013577103614,37,1,310,14178
17,"(16, 16)",1,67.11647004969419,3.1023544535040855,37,3,1004,47130
18,"(16, 16)",2,86.00788508374244,0.0029736654832959175,37,2,618,28353
19,"(16, 16)",3,75.0368516990915,0.00010465551167726517,37,1,312,14296
20,"(32, 4)",0,100.67393067665398,0.00011032912880182266,14,1,238,23772
21,"(32, 4)",1,209.5708882395178,0.004416781291365623,14,4,938,93879
22,"(32, 4)",2,165.0469921246171,0.004467655159533024,14,3,698,69510
23,"(32, 4)",3,115.45963454395533,0.00650268979370594,14,2,462,45741
24,"(32, 8)",0,84.19296150021255,0.0051413366571068765,22,1,336,37296
25,"(32, 8)",1,131.57904008701445,0.0001040235161781311,22,4,1346,150375
26,"(32, 8)",2,111.07637701686471,0.0001010410487651825,22,3,1016,113682
27,"(32, 8)",3,117.19537859298289,8.699335157871246e-05,22,2,682,76389
28,"(32, 16)",0,185.12692161705345,0.003710041753947735,38,1,628,78720
29,"(32, 16)",1,314.64342689439655,9.952951222658157e-05,38,4,2498,313671
30,"(32, 16)",2,228.9501138182357,0.0011357629671692848,38,3,1880,236154
31,"(32, 16)",3,243.78769630808384,9.147357195615768e-05,38,2,1258,158037
32,"(32, 32)",0,193.09509328380227,0.00010232124477624894,70,1,1150,152252
33,"(32, 32)",1,511.337783989124,0.00010245144367218017,70,4,4586,607799
34,"(32, 32)",2,388.7386535415426,9.058322757482529e-05,70,3,3434,454950
35,"(32, 32)",3,291.4185200601816,9.392928332090378e-05,70,2,2294,303901
36,"(64, 8)",0,147.4673945846036,9.768512099981309e-05,23,1,688,166346
37,"(64, 8)",1,819.9568977726624,0.00013737790286540985,23,6,4106,994341
38,"(64, 8)",2,542.177641383186,0.018887111730873585,23,4,2730,660415
39,"(64, 8)",3,408.7901617659256,0.01249937228858471,23,3,2054,497172
40,"(64, 16)",0,275.63947726078334,9.204726666212082e-05,39,1,1220,326330
41,"(64, 16)",1,1612.8065917262807,0.00012723058462142943,39,6,7298,1954245
42,"(64, 16)",2,1070.6894275737927,0.00012567490339279174,39,4,4858,1300351
43,"(64, 16)",3,801.3491889821365,0.00011624265462160111,39,3,3650,977124
44,"(64, 32)",0,532.2958397176117,0.0011193908751010895,71,1,2292,648762
45,"(64, 32)",1,3227.9335898168383,0.0001438230276107788,71,6,13730,3888837
46,"(64, 32)",2,2141.110587816313,0.00010603144764900207,71,4,9162,2595039
47,"(64, 32)",3,1605.627999090962,0.0011488432064652443,71,3,6878,1948140
48,"(64, 64)",0,1056.0091458853335,0.001134023815393448,135,1,4402,1283086
49,"(64, 64)",1,6418.494512253441,0.00011160112917423249,135,6,26390,7694781
50,"(64, 64)",2,4273.073595784418,0.0011802799999713898,135,4,17586,5127375
51,"(64, 64)",3,3184.754498850368,0.00010850150138139725,135,3,13184,3843672
